Innovador	UsePage	UsePhone	UseSchdl	InfoPaisve	InfoActive	RemoteLoc	Wireless	ShareInfo	Monthly	Invoice	Age	Eduaction	Income	Construction	Emergency	Sales	Service	Professnl	PDA	Bus_Week	PC_Mag	Fiel&Stream	M_Gourmet
2	5	2	1	4	5	5	4	7	45	1950	32	3	30	1	0	0	0	0	0	0	1	0	0
6	5	6	4	3	4	4	1	2	20	1950	41	4	90	0	0	0	0	1	1	1	1	0	0
5	3	4	3	1	6	6	2	3	15	2150	47	4	43	1	0	0	0	0	0	1	0	0	0
1	2	4	3	3	2	3	1	3	5	600	20	3	36	0	0	1	0	0	1	0	0	0	0
6	3	7	6	2	2	1	1	3	0	1950	21	4	55	0	0	0	0	1	1	1	0	0	0
6	3	5	7	2	5	5	1	4	0	2100	33	3	69	0	0	0	0	1	1	1	1	0	1
5	1	3	7	3	4	3	2	3	20	400	29	2	29	0	0	0	0	1	0	0	0	0	0
3	4	3	2	4	4	5	7	4	25	550	39	2	44	0	0	0	1	0	0	0	0	0	0
2	4	2	2	4	3	5	4	2	40	800	30	2	51	0	0	0	1	0	1	1	0	0	0
2	5	2	1	4	4	4	7	2	25	500	46	2	45	0	1	0	0	0	0	0	1	0	0
5	3	4	3	1	6	6	2	3	10	2150	38	3	107	0	0	1	0	0	1	1	1	0	1
3	3	6	5	2	3	6	1	3	15	500	51	3	41	0	0	1	0	0	0	1	1	0	0
7	3	5	6	3	5	2	2	1	0	850	26	3	23	0	0	0	0	1	1	1	0	0	1
4	5	3	2	5	5	6	6	6	40	1950	49	2	42	0	1	0	0	0	0	0	0	1	0
5	5	4	5	5	4	5	3	3	0	500	39	1	28	0	1	0	0	0	0	0	0	1	0
3	6	2	2	4	4	4	5	4	35	850	53	2	48	0	0	1	0	0	0	0	0	0	0
4	5	2	1	4	4	6	6	4	35	1100	36	1	39	0	0	1	0	0	0	0	1	0	0
3	2	5	6	4	4	5	1	4	10	550	27	1	60	0	0	0	0	1	0	0	0	0	0
4	4	3	1	4	4	4	6	2	10	500	26	1	34	0	0	1	0	0	1	0	0	0	0
3	2	5	3	1	2	5	1	3	5	450	25	2	56	0	0	1	0	0	0	0	0	0	0
2	2	5	2	2	2	6	1	5	10	550	33	2	54	0	0	1	0	0	0	1	0	0	0
3	6	2	1	1	3	5	4	3	35	650	29	3	29	0	0	0	1	0	0	0	0	0	0
