"CASO" "KCMATER" "HB" "HC" "HD" "HE" "HF" "HG" "HH" "HI" "FIREP" "FICCUID" "FIDIST" "FICDOC" "FICAMIG" "FIPUBLI" "FIAMAB" "FIIMOD" "FIEMOD" "FISEG" "FAMIL" "ELECHOSP" "SERPERF" "ALEALTAD" "AMSERV" "ASCOM" "ACALIDAD" "ACOMOD" "VKC" "VB" "VC" "VD" "VE" "VF" "VG" "VH" "VI" "INTERES" "COMPROM" "ESFUER" "MOTIV" "DIFICULT" "SEXO" "ESTADOMA" "EDAD" "NIVELEDU" "INGRESOS"
"11" 11 0 0 0 0 1 0 1 1 0 3 6 2 2 4 2 6 3 3 3 3 100 100 3 3 4 5 3 0 0 0 0 0 0 6 6 0 4 4 5 4 4 0 0 100 100 1000
"12" 12 0 1 1 0 0 1 0 0 0 6 4 2 5 3 2 3 5 5 3 5 1000 0 4 6 3 4 2 0 0 0 0 4 6 0 0 0 4 4 4 5 4 0 0 0 1 1
"13" 13 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 3 3 2 4 10000 100 3 3 4 5 3 0 0 0 0 0 0 0 4 0 2 5 4 4 4 0 0 100 100 1000
"14" 14 0 0 0 0 1 0 1 1 0 2 6 3 2 4 2 6 3 2 3 3 100 100 3 4 4 6 2 0 0 0 0 0 0 0 0 0 3 4 4 4 6 0 0 1 10 100
"15" 15 0 0 0 0 1 0 1 1 0 2 4 3 2 5 2 5 3 2 3 3 10000 100 4 4 4 5 3 0 0 0 0 6 0 0 0 0 4 6 4 3 4 0 0 100 10 10000
"16" 16 0 1 1 0 0 1 0 0 0 5 3 3 6 2 3 3 6 6 3 5 1000 0 4 6 3 4 2 0 0 0 0 0 2 0 0 0 5 5 4 4 5 0 0 100 1 1
"17" 17 0 0 0 0 1 0 1 1 0 2 4 2 2 5 2 6 3 2 2 4 10000 100 3 4 4 5 3 0 0 0 0 7 0 2 0 0 5 5 5 4 3 0 0 10 100 100
"18" 18 0 1 1 0 0 1 0 0 0 5 2 3 5 2 2 3 6 5 2 6 1e+07 0 4 5 3 4 3 0 9 0 0 0 0 0 0 0 5 5 5 3 5 0 0 100 1 10
"19" 19 0 0 0 0 1 0 1 1 0 3 6 2 3 5 2 6 3 2 3 3 100 100 3 4 4 5 2 0 0 0 0 2 0 9 0 0 4 4 5 6 4 0 0 100 10 100
"20" 20 0 0 0 0 1 0 1 1 0 3 6 2 3 5 2 6 3 3 2 4 10000 100 2 4 4 5 2 0 0 0 0 8 0 5 0 0 5 5 6 4 5 0 0 100 0 100
"21" 21 0 1 1 0 0 1 0 0 0 4 3 3 6 2 3 3 5 5 3 6 1e+07 0 3 5 2 4 3 0 9 3 0 0 0 0 0 0 4 4 4 5 5 0 0 0 10 10
"22" 22 0 1 1 0 0 1 0 0 0 6 2 2 5 2 2 2 5 6 2 5 1000 0 4 6 3 4 3 0 4 0 0 0 6 0 0 0 6 4 5 5 4 0 0 0 1 1
"23" 23 0 0 0 0 1 0 1 1 0 3 5 3 1 4 2 6 2 2 3 3 10000 100 6 4 4 5 1 0 0 0 0 9 3 0 0 0 4 5 3 4 6 0 0 10 10 100
"24" 24 1 0 0 0 0 0 0 0 0 2 3 6 1 2 1 3 3 2 3 2 0 1 3 3 2 2 6 7 0 0 0 2 2 0 0 0 5 5 5 3 4 1 0 100 10 10000
"25" 25 0 0 0 0 1 0 1 1 0 3 6 3 2 6 2 6 3 3 3 4 100 100 4 4 4 5 2 0 0 0 0 0 0 0 0 0 5 5 6 3 4 0 0 100 100 100
"26" 26 0 1 1 0 0 1 0 0 0 5 3 2 5 2 2 3 5 5 3 5 1000 0 2 6 3 3 1 0 0 0 0 0 4 0 0 0 3 3 4 5 5 0 0 0 1 1
"27" 27 0 0 0 0 1 0 1 1 0 2 6 3 2 6 2 5 2 3 3 4 10000 100 4 4 4 6 2 0 0 0 0 3 7 0 3 0 5 5 5 3 4 0 0 1 10 10000
"28" 28 1 0 0 0 0 0 0 0 0 3 2 6 1 1 2 3 2 2 3 2 0 1 2 3 3 2 5 2 0 0 0 4 0 0 4 0 5 4 4 4 4 0 10 10 10 1000
"29" 29 0 0 0 0 1 0 1 1 0 2 6 3 2 4 3 6 2 2 3 4 10000 100 2 4 3 5 2 0 0 0 0 3 0 0 5 0 4 5 5 3 5 0 0 100 10 100
"30" 30 0 1 1 0 0 1 0 0 0 5 2 3 4 2 2 2 5 6 3 6 1000 0 3 6 3 3 3 0 0 5 0 0 0 0 0 0 4 5 6 5 6 0 0 0 1 1
"31" 31 0 1 1 0 0 1 0 0 0 5 2 3 5 1 2 3 6 4 2 5 1000 0 6 5 3 4 2 0 7 4 0 0 3 0 0 0 5 4 4 3 6 0 0 0 10 10
"32" 32 0 0 0 1 0 0 0 0 1 2 3 3 3 1 5 3 1 3 6 1 1 10 4 2 6 2 4 0 0 0 0 0 0 5 0 3 4 4 4 4 5 1 1 1 0 10
"33" 33 0 1 1 0 0 1 0 0 0 5 2 3 4 2 2 3 5 4 3 6 1e+07 0 3 5 2 3 2 0 8 3 0 0 0 0 0 0 4 5 5 3 4 0 0 0 1 10
"34" 34 0 1 1 0 0 1 0 0 0 5 3 3 6 2 3 3 6 5 3 5 1000 0 1 6 3 4 3 0 0 4 0 0 9 0 0 0 4 5 3 6 4 0 0 0 1 1
"35" 35 0 1 1 0 0 1 0 0 0 6 2 3 5 3 2 3 6 6 3 6 1000 0 2 6 2 4 3 0 2 3 0 0 4 0 0 0 5 6 5 5 5 0 0 0 1 1
"36" 36 0 0 0 0 1 0 1 1 0 3 6 2 3 5 2 6 2 2 2 3 100 100 3 4 4 6 2 0 0 2 0 0 0 6 0 0 5 5 6 4 6 0 0 100 10 100
"37" 37 0 0 0 0 1 0 1 1 0 3 5 3 1 5 2 6 3 2 3 3 100 100 6 4 5 5 3 0 0 0 0 0 0 5 6 4 5 5 5 5 4 0 0 100 100 100
"38" 38 1 0 0 0 0 0 0 0 0 3 3 6 2 3 2 3 2 3 3 2 0 1 2 2 3 2 6 6 0 0 0 0 0 0 0 0 4 5 4 6 2 0 10 1 0 0
"39" 39 1 0 0 0 0 0 0 0 0 2 3 6 2 2 1 3 2 2 2 2 0 1 2 2 2 3 6 6 0 0 0 2 3 0 0 0 5 3 5 5 5 1 0 1 0 10000
"40" 40 1 0 0 0 0 0 0 0 0 2 2 5 2 2 3 3 2 2 3 2 0 1 5 2 2 2 5 6 0 0 0 3 0 0 0 0 5 5 4 4 3 0 10 1 0 1000
"41" 41 0 1 1 0 0 1 0 0 0 5 3 2 5 2 2 3 5 4 3 5 1000 0 3 5 2 3 2 0 0 4 0 0 0 0 0 0 5 4 6 5 4 0 0 0 1 10
"42" 42 0 1 1 0 0 1 0 0 0 6 4 2 6 2 2 3 6 5 2 6 1000 0 2 6 2 4 3 0 0 0 0 0 0 0 0 0 4 4 5 5 4 0 0 100 1 1
"43" 43 0 1 1 0 0 1 0 0 0 5 3 2 5 2 2 3 5 5 3 6 1000 0 2 6 2 4 3 0 2 0 0 0 5 0 0 0 4 5 4 5 4 0 0 0 1 1
"44" 44 0 1 1 0 0 1 0 0 0 6 2 3 6 2 2 3 4 6 2 5 1e+06 0 1 6 3 4 2 0 5 9 0 0 0 0 0 0 5 4 6 5 3 0 0 100 1 1
"45" 45 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 3 3 2 3 10000 100 3 4 4 5 2 0 0 0 0 6 0 0 3 0 5 5 3 3 5 0 0 10 10 100
"46" 46 0 0 0 0 1 0 1 1 0 3 6 3 2 6 2 6 3 2 3 3 10 100 5 4 4 5 3 0 0 0 0 0 0 4 5 0 5 2 4 5 3 0 0 10 10 100
"47" 47 0 1 1 0 0 1 0 0 0 5 2 3 5 2 2 3 5 5 2 5 1000 0 4 5 2 3 3 0 5 0 0 0 3 0 0 0 4 5 4 4 4 0 0 0 1 10
"48" 48 0 0 0 0 1 0 1 1 0 3 6 3 3 6 2 5 2 2 3 4 10000 100 4 4 4 5 3 0 0 0 0 5 0 0 2 0 4 3 3 4 6 0 0 100 10 10000
"49" 49 0 0 0 0 1 0 1 1 0 2 6 3 3 5 2 6 2 3 3 3 10000 100 1 4 4 5 2 0 0 0 0 0 3 0 0 0 4 5 3 4 4 0 0 100 100 100
"50" 50 0 0 0 0 1 0 1 1 0 2 5 3 3 5 2 6 2 3 2 4 10000 100 5 4 4 5 3 0 0 0 0 5 0 3 5 0 5 5 5 4 4 0 0 100 100 100
"51" 51 0 0 0 0 1 0 1 1 0 2 6 3 2 4 2 6 3 1 3 4 10000 100 3 4 4 5 2 0 0 0 0 5 0 4 0 0 5 5 5 6 5 0 0 100 10 10000
"52" 52 0 0 0 1 0 0 0 0 1 3 2 3 2 2 5 3 2 2 6 1 1 10 5 2 5 3 4 0 0 0 3 0 0 2 0 2 5 4 4 4 6 1 1 1 0 1000
"53" 53 0 0 0 0 1 0 1 1 0 3 6 3 1 5 2 6 3 2 2 4 10 100 2 4 4 6 3 0 0 0 0 0 0 2 6 0 6 4 4 5 5 0 0 100 100 10000
"54" 54 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 2 2 2 3 10000 100 2 5 4 5 2 0 0 0 0 6 0 5 0 0 3 3 4 4 5 0 0 100 1 10
"55" 55 0 0 0 0 1 0 1 1 0 2 6 3 3 4 3 6 2 4 3 3 10000 100 3 4 4 5 3 0 0 0 0 4 0 4 0 0 5 6 5 4 5 0 0 100 10 100
"56" 56 0 0 0 0 1 0 1 1 0 4 6 2 2 6 2 6 2 3 3 4 10000 100 3 4 4 5 3 0 0 0 0 5 0 2 0 0 4 4 4 3 6 0 0 10 100 100
"57" 57 0 0 0 0 1 0 1 1 0 2 6 2 2 5 2 6 3 1 3 3 10000 100 3 4 4 6 2 0 0 0 0 2 5 0 0 0 4 5 5 5 6 0 0 100 10 100
"58" 58 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 2 2 3 4 10 100 4 4 4 6 3 0 0 0 0 0 0 0 4 0 5 4 4 4 5 0 0 100 10 100
"59" 59 0 0 0 0 1 0 1 1 0 2 5 2 1 6 2 6 2 1 3 4 100 100 1 4 4 5 3 0 0 0 0 0 0 9 7 0 5 3 5 4 6 0 0 100 10 100
"60" 60 0 0 0 0 1 0 1 1 0 2 5 2 3 5 2 5 2 2 2 4 10 100 4 4 4 5 2 0 0 0 0 0 0 0 6 0 5 4 3 3 5 0 0 1 10 100
"61" 61 0 0 0 0 1 0 1 1 0 2 6 2 2 5 2 6 2 3 2 4 10 100 2 4 3 6 3 0 0 0 0 2 0 4 9 0 5 3 6 4 4 0 0 100 10 100
"62" 62 0 1 1 0 0 1 0 0 0 6 2 2 5 2 3 3 6 4 2 5 1000 0 6 6 3 3 3 0 0 0 0 0 2 0 0 0 5 6 5 5 5 0 0 100 1 1
"63" 63 0 0 0 0 1 0 1 1 0 3 5 3 2 5 3 6 2 2 2 4 10 100 4 4 4 5 3 0 0 0 0 0 0 0 0 0 6 4 6 3 3 0 0 10 100 100
"64" 64 0 0 0 1 0 0 0 0 1 3 3 2 3 3 6 3 3 1 6 1 1 10 3 2 5 3 4 0 0 0 0 0 0 0 2 0 5 5 4 3 5 1 1 1 0 0
"65" 65 0 0 0 0 1 0 1 1 0 3 5 2 4 4 2 5 2 1 3 4 10000 100 3 4 4 5 3 0 0 0 0 2 0 0 4 0 4 5 4 5 3 0 0 100 0 10000
"66" 66 0 0 0 0 1 0 1 1 0 2 4 4 3 5 2 6 2 3 3 3 10000 100 4 4 4 5 2 2 0 0 0 6 0 0 2 0 5 5 4 4 5 0 0 100 100 100
"67" 67 0 1 1 0 0 1 0 0 0 6 4 3 5 2 3 3 5 6 3 6 1000 0 4 6 2 4 2 0 0 0 0 0 0 0 0 0 4 6 5 5 5 0 0 0 1 1
"68" 68 0 0 0 0 1 0 1 1 0 2 6 3 3 5 2 6 3 2 3 4 100 100 4 4 4 5 3 0 0 0 0 0 0 9 4 2 5 5 4 4 3 0 0 100 0 100
"69" 69 0 0 0 1 0 0 0 0 1 2 2 3 1 2 5 3 1 2 6 2 1 10 3 3 5 2 4 0 0 0 0 0 0 4 0 4 4 6 5 6 4 0 1 100 10 1000
"70" 70 0 1 1 0 0 1 0 0 0 6 3 3 5 2 3 3 5 5 2 6 1000 0 2 6 3 4 2 0 0 4 0 0 9 0 0 0 4 5 5 4 5 0 0 100 1 1
"71" 71 0 0 0 0 1 0 1 1 0 2 5 3 3 6 2 5 3 2 2 4 10000 100 3 4 4 5 2 0 0 0 0 0 0 0 2 0 5 5 4 4 5 0 0 100 100 100
"72" 72 0 0 0 0 1 0 1 1 0 4 6 3 4 5 2 5 3 3 3 3 10000 100 3 4 4 5 3 0 0 0 0 8 0 0 0 0 5 4 4 4 4 0 0 100 0 10000
"73" 73 0 0 0 0 1 0 1 1 0 3 6 3 3 5 2 6 2 2 3 4 10000 100 4 4 4 5 2 0 0 0 0 3 0 4 0 0 3 4 5 3 4 0 0 100 10 100
"74" 74 0 0 0 0 1 0 1 1 0 3 6 2 4 5 3 6 2 2 2 3 10 100 3 4 4 5 2 0 0 0 0 0 0 0 8 0 3 5 5 4 6 0 0 100 10 100
"75" 75 0 1 1 0 0 1 0 0 0 4 2 3 5 2 2 3 5 6 3 6 1e+07 0 2 6 2 4 3 0 8 0 0 0 0 0 0 0 4 4 4 6 3 0 0 100 1 1
"76" 76 0 0 0 1 0 0 0 0 1 3 4 3 1 1 5 2 3 3 5 1 1 10 3 2 6 2 4 0 0 0 0 0 0 3 0 6 4 4 3 4 5 1 1 1 0 0
"77" 77 0 1 1 0 0 1 0 0 0 6 2 3 5 3 2 3 6 4 3 6 1e+06 0 4 5 3 3 3 0 0 4 0 0 0 0 0 0 4 4 4 5 5 0 0 100 1 10
"78" 78 0 0 0 0 1 0 1 1 0 3 6 3 2 5 3 6 3 1 2 4 10000 100 3 4 4 5 3 0 0 0 0 4 0 3 2 0 4 4 5 5 6 0 0 1 10 100
"79" 79 0 0 0 0 1 0 1 1 0 2 4 3 3 5 2 6 2 2 3 3 10 100 3 4 4 6 2 0 0 0 0 0 0 5 0 0 4 5 4 4 5 0 0 100 10 100
"80" 80 0 1 1 0 0 1 0 0 0 5 3 3 6 2 2 2 6 5 3 6 1000 0 3 6 3 4 2 0 0 0 0 3 7 0 0 0 4 5 4 6 4 0 0 0 1 1
"81" 81 0 0 0 1 0 0 0 0 1 3 2 3 3 3 5 3 2 2 5 2 1 10 5 3 6 2 4 0 0 0 0 0 0 7 2 4 5 4 5 5 6 1 1 100 0 1000
"82" 82 0 0 0 0 1 0 1 1 0 3 5 3 2 5 2 6 3 3 3 3 10000 100 2 4 4 5 2 0 0 0 0 6 0 2 0 0 4 4 5 5 4 0 0 100 100 1000
"83" 83 0 0 0 0 1 0 1 1 0 3 6 3 3 6 2 6 2 3 3 3 10000 100 4 4 4 5 3 0 0 0 0 3 0 0 0 0 4 5 4 4 6 0 0 100 100 100
"84" 84 0 1 1 0 0 1 0 0 0 6 3 3 5 2 1 3 5 5 3 6 1000 0 5 5 2 4 2 0 0 0 0 0 5 0 0 0 6 3 5 6 4 0 0 100 1 10
"85" 85 0 0 0 0 1 0 1 1 0 3 5 2 3 5 2 6 3 2 2 3 100 100 3 3 4 5 3 0 0 2 0 0 0 8 5 0 5 4 5 3 4 0 0 10 100 1000
"86" 86 0 0 0 0 1 0 1 1 0 3 5 3 3 5 3 6 2 1 3 4 100 100 4 4 4 5 3 0 0 0 0 0 0 5 0 2 5 4 5 5 4 0 0 100 10 100
"87" 87 0 0 0 0 1 0 1 1 0 3 6 3 2 6 3 6 3 4 3 4 10000 100 3 4 4 5 2 0 0 0 0 4 0 0 0 0 5 5 5 4 5 0 0 100 10 100
"88" 88 0 0 0 1 0 0 0 0 1 2 3 3 2 2 4 3 2 2 5 1 1 10 2 2 6 3 4 0 0 0 0 0 0 4 6 4 6 3 5 5 4 1 1 1 0 10
"89" 89 0 1 1 0 0 1 0 0 0 5 2 3 5 3 2 2 6 5 2 6 1e+07 0 3 5 2 3 2 0 2 2 0 0 0 0 0 0 4 5 4 5 4 0 0 0 1 10
"90" 90 0 1 1 0 0 1 0 0 0 6 4 3 6 2 3 3 5 6 2 6 1e+07 0 4 6 3 4 3 0 3 4 0 0 0 0 0 0 5 4 5 5 5 0 0 0 1 1
"91" 91 0 1 1 0 0 1 0 0 0 5 3 2 5 3 2 2 5 5 2 6 1000 0 5 6 2 3 2 0 0 5 0 0 0 0 0 0 4 5 4 5 5 0 0 0 1 1
"92" 92 0 1 1 0 0 1 0 0 0 5 2 3 5 3 2 3 6 6 3 6 1e+06 0 4 6 2 3 2 0 0 5 0 0 0 6 0 0 5 5 3 4 4 0 0 0 1 1
"93" 93 0 0 0 0 1 0 1 1 0 3 6 3 1 6 2 6 2 2 2 4 10000 100 2 4 4 5 2 0 0 0 0 4 0 0 3 0 4 4 5 3 5 0 0 100 10 100
"94" 94 0 1 1 0 0 1 0 0 0 6 3 3 5 2 2 3 6 6 2 6 1000 0 3 6 3 4 3 0 0 4 0 0 4 0 0 0 5 4 4 4 6 0 0 0 1 1
"95" 95 0 1 1 0 0 1 0 0 0 5 3 3 6 2 2 3 4 6 3 5 1e+06 0 2 5 2 4 3 0 0 9 0 0 3 0 0 0 4 5 5 4 5 0 0 0 1 10
"96" 96 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 2 2 2 3 100 100 5 4 4 5 2 0 0 0 0 0 0 0 0 0 5 6 4 3 5 0 0 10 10 100
"97" 97 0 0 0 0 1 0 1 1 0 3 6 3 3 5 3 6 2 1 2 4 10000 100 3 3 4 6 2 0 0 0 0 5 3 0 0 0 5 5 5 5 4 0 0 100 0 1000
"98" 98 0 0 0 0 1 0 1 1 0 2 3 3 2 6 2 6 3 1 2 3 10000 100 4 4 4 6 3 0 0 0 0 4 0 3 6 0 5 4 5 5 4 0 0 100 10 100
"99" 99 0 0 0 0 1 0 1 1 0 3 5 2 3 5 2 5 1 2 3 4 10000 100 4 5 4 6 3 0 0 0 0 4 0 0 0 0 4 5 5 3 5 0 0 0 1 10
"100" 100 1 0 0 0 0 0 0 0 0 3 4 6 3 2 2 2 1 2 3 2 0 1 2 3 3 2 6 6 0 0 0 0 3 0 0 0 5 5 4 4 5 0 10 100 10 1000
"101" 101 0 0 0 1 0 0 0 0 1 3 2 3 2 4 6 3 3 3 5 2 1 10 5 2 5 3 4 0 0 0 0 0 0 0 6 9 5 5 3 4 3 0 1 1 0 10000
"102" 102 0 0 0 0 1 0 1 1 0 3 6 3 2 5 2 6 3 2 3 4 10000 100 3 4 4 5 3 0 0 0 0 8 0 0 2 0 4 4 4 4 5 0 0 100 100 100
"103" 103 0 0 0 0 1 0 1 1 0 2 5 2 3 6 2 6 3 3 2 4 10000 100 4 4 4 6 3 0 0 0 0 7 0 0 4 0 5 4 4 4 5 0 0 10 100 100
"104" 104 0 0 0 1 0 0 0 0 1 3 1 3 2 2 5 2 2 2 6 1 1 10 4 2 6 3 4 0 0 0 0 0 0 7 0 4 5 3 4 4 4 1 1 1 0 10
"105" 105 0 0 0 0 1 0 1 1 0 3 5 3 1 5 2 6 2 2 3 3 10 100 2 4 4 5 2 0 0 0 0 6 0 0 7 0 4 4 4 5 5 0 0 100 10 10000
"106" 106 0 0 0 0 1 0 1 1 0 3 5 3 1 5 2 5 3 1 3 4 10000 100 4 4 4 6 3 0 0 0 0 9 0 9 7 0 6 4 4 6 6 0 0 100 10 100
"107" 107 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 3 2 2 4 10000 100 3 4 4 5 2 0 0 0 0 6 3 0 0 0 4 4 5 4 5 0 0 100 10 100
"108" 108 0 0 0 0 1 0 1 1 0 3 6 3 2 5 2 6 2 2 2 4 100 100 4 4 4 5 3 0 0 0 0 2 0 0 3 0 4 6 4 5 4 0 0 10 10 100
"109" 109 0 1 1 0 0 1 0 0 0 6 4 3 6 2 2 3 5 5 3 6 1e+07 0 4 6 3 4 3 0 6 0 0 0 0 3 0 0 3 5 5 4 5 0 0 0 1 1
"110" 110 0 0 0 0 1 0 1 1 0 2 6 2 2 5 2 6 1 2 3 3 10000 100 4 4 4 4 3 0 0 0 0 9 0 0 0 0 4 5 6 4 5 0 0 100 100 100
"111" 111 0 1 1 0 0 1 0 0 0 6 2 3 6 2 2 2 6 5 3 5 1e+06 0 4 5 2 4 3 0 4 5 0 0 4 0 0 0 4 3 5 4 4 0 0 0 1 10
"112" 112 0 0 0 0 1 0 1 1 0 3 6 3 1 5 2 6 2 2 2 4 10000 100 4 4 4 5 3 7 0 0 0 0 0 0 0 0 4 5 4 4 5 0 0 100 0 1000
"113" 113 0 0 0 0 1 0 1 1 0 3 6 2 2 5 2 5 2 3 3 4 100 100 1 4 4 5 3 0 0 0 0 0 0 5 0 0 5 4 3 4 4 0 0 100 100 100
"114" 114 0 0 0 0 1 0 1 1 0 2 5 3 2 5 3 6 2 2 3 3 100 100 3 4 4 5 2 0 0 0 0 6 0 5 0 0 4 5 5 4 4 0 0 10 0 100
"115" 115 0 1 1 0 0 1 0 0 0 5 2 3 6 2 1 3 5 6 3 6 1000 0 4 5 3 4 3 0 0 5 0 0 4 0 0 0 4 4 4 4 5 0 0 100 1 10
"116" 116 0 0 0 0 1 0 1 1 0 3 5 2 1 5 2 6 2 2 2 4 10000 100 5 4 4 6 2 0 0 0 0 9 3 0 3 0 3 4 4 2 5 0 0 100 10 100
"117" 117 0 0 0 0 1 0 1 1 0 2 5 3 2 6 2 6 3 3 3 3 10000 100 4 4 4 5 3 0 0 0 0 3 0 0 0 0 4 5 4 5 6 0 0 100 100 100
"118" 118 0 0 0 0 1 0 1 1 0 3 5 3 1 5 2 6 2 3 3 4 10000 100 6 4 4 5 3 0 0 0 0 3 0 0 0 0 4 6 4 4 5 0 0 100 10 100
"119" 119 0 0 0 0 1 0 1 1 0 2 6 3 2 5 2 6 2 3 2 3 10 100 3 4 4 6 3 0 0 0 0 7 0 4 4 0 6 6 5 4 4 0 0 100 100 100
"120" 120 0 0 0 0 1 0 1 1 0 2 6 2 3 5 2 5 3 2 3 4 10000 100 4 4 4 5 3 0 0 0 0 5 0 0 0 0 4 5 3 4 2 0 0 100 10 1000
"121" 121 0 0 0 0 1 0 1 1 0 1 6 2 1 5 2 6 2 2 3 4 100 100 1 3 4 5 3 0 0 0 0 3 0 0 2 0 4 4 5 5 6 0 0 100 10 1000
"122" 122 0 0 0 1 0 0 0 0 1 2 1 3 2 3 6 3 3 3 6 2 1 10 5 2 6 3 5 0 0 0 0 0 0 0 0 3 4 5 3 4 6 0 1 1 0 1000
"123" 123 0 0 0 0 1 0 1 1 0 3 5 3 2 5 3 6 3 2 2 4 10000 100 4 4 4 5 2 0 0 0 0 7 0 0 3 0 5 5 4 4 4 0 0 10 10 100
"124" 124 0 1 1 0 0 1 0 0 0 5 2 2 5 2 2 3 6 6 2 6 1e+07 0 2 6 2 4 3 0 5 5 0 0 0 0 0 0 4 3 3 5 4 0 0 100 1 1
"125" 125 0 1 1 0 0 1 0 0 0 6 4 3 5 2 2 2 5 5 3 6 1e+07 0 5 6 2 3 2 0 5 2 0 0 2 0 0 0 4 4 4 5 3 0 0 0 1 1
"126" 126 0 1 1 0 0 1 0 0 0 5 3 3 5 2 2 3 4 5 2 5 1000 0 5 5 2 5 3 0 0 0 0 0 8 0 0 0 4 6 4 4 2 0 0 0 1 10
"127" 127 1 0 0 0 0 0 0 0 0 1 2 6 4 2 2 3 3 3 2 1 0 1 1 2 2 2 5 5 0 0 0 0 2 0 0 0 3 5 5 4 3 1 10 1 0 100
"128" 128 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 3 2 3 4 10 100 4 4 4 5 3 0 0 0 0 0 0 2 0 0 4 4 5 5 5 0 0 100 10 100
"129" 129 0 0 0 0 1 0 1 1 0 2 5 3 2 6 2 6 2 3 3 3 10 100 2 4 4 5 3 0 0 0 0 0 0 0 7 0 5 4 5 5 5 0 0 10 10 1000
"130" 130 0 0 0 0 1 0 1 1 0 2 5 3 2 5 2 6 2 3 3 4 10000 100 4 4 4 6 2 0 0 0 0 2 0 3 0 0 5 4 5 3 4 0 0 100 10 100
"131" 131 0 0 0 1 0 0 0 0 1 2 3 3 2 2 5 3 3 2 6 1 1e+05 10 2 3 6 2 4 0 6 0 5 0 0 0 0 0 5 4 4 5 5 1 1 100 10 1000
"132" 132 0 0 0 0 1 0 1 1 0 2 4 3 2 5 2 6 1 1 2 3 10000 100 2 4 4 5 3 0 0 0 0 0 0 4 2 0 4 4 5 3 3 0 0 100 10 100
"133" 133 0 0 0 1 0 0 0 0 1 2 1 3 3 3 5 3 3 2 5 2 1e+05 10 1 3 6 2 5 0 0 0 5 0 0 0 0 2 4 4 3 4 5 1 1 1 10 10000
"134" 134 0 1 1 0 0 1 0 0 0 6 3 3 6 1 2 3 6 4 2 6 1000 0 4 5 2 3 3 4 0 0 0 0 9 0 0 0 4 4 5 4 4 0 0 0 10 100
"135" 135 0 0 0 0 1 0 1 1 0 1 6 3 2 5 2 6 2 3 2 4 10000 100 2 4 4 6 4 0 0 0 0 2 0 0 0 0 4 5 4 5 4 0 0 100 100 100
