DELSPEED;PRICELEV;PRICEFLE;MANUFIMA;SERVICE;SALESFOR;PRODUCTQ;TAMEMP;USAGELEV;SATISFLE;ESPCOMPR;ESTRCOMP;INDUSTRI;SITCOMP
3,3;0,9;8,6;4;2,1;1,8;6,3;Small;41;4,5;Total Value Analysis;Decentralized;Other Industries;Modified Rebuy
5,1;1,4;8,7;4,8;3,3;2,6;3,8;Small;49;4,9;Total Value Analysis;Decentralized;Other Industries;Modified Rebuy
4,1;3,7;5,9;5,5;3,9;3;8,4;Large;46;5,1;Specification Buying;Centralized;Other Industries;Modified Rebuy
3,6;4;5,8;5,8;3,7;2,5;9,3;Large;44;4,8;Specification Buying;Centralized;Industry A Classification;Modified Rebuy
5;1,3;8,6;4,7;3,1;2,5;3,7;Small;48;4,8;Total Value Analysis;Decentralized;Other Industries;Modified Rebuy
3,4;3,9;5,6;5,6;3,6;2,3;9,1;Large;43;4,7;Specification Buying;Centralized;Industry A Classification;Modified Rebuy
3,7;0,7;8,2;6;2,1;2,5;5,2;Small;41;5;Total Value Analysis;Decentralized;Other Industries;Modified Rebuy
2,6;4,8;8,2;5;3,6;2,5;9;Large;53;5,2;Specification Buying;Centralized;Industry A Classification;Modified Rebuy
4,5;4,1;6,3;5,9;4,3;3,4;8,8;Large;50;5,5;Specification Buying;Centralized;Other Industries;Modified Rebuy
2,9;2,6;7,7;7;2,8;3,6;7,7;Small;47;4,2;Total Value Analysis;Centralized;Industry A Classification;Modified Rebuy
4,9;4,4;7,4;6,9;4,6;4;9,6;Large;62;6,2;Specification Buying;Centralized;Other Industries;Modified Rebuy
2,3;4,5;8;4,7;3,3;2,2;8,7;Large;50;5;Specification Buying;Centralized;Industry A Classification;Modified Rebuy
3;3,8;5,5;4,9;3,4;2,6;6;Small;36;4,2;Total Value Analysis;Centralized;Industry A Classification;Modified Rebuy
3,7;1,4;9;4,5;2,6;2,3;6,8;Small;45;4,9;Total Value Analysis;Decentralized;Other Industries;Modified Rebuy
1,6;4,5;6,4;5,3;3;2,5;7,1;Large;46;4,5;Specification Buying;Centralized;Other Industries;Modified Rebuy
2,3;3,7;8,3;5,2;3;2,3;9,1;Large;49;4,8;Specification Buying;Centralized;Industry A Classification;Modified Rebuy
3,6;5,4;5,9;6,2;4,5;2,9;8,4;Large;50;5,4;Specification Buying;Centralized;Industry A Classification;Modified Rebuy
4,2;2,4;9,4;4,9;3,2;2,7;8,5;Small;49;5,2;Total Value Analysis;Decentralized;Industry A Classification;Modified Rebuy
3,8;0,8;8,3;6,1;2,2;2,6;5,3;Small;42;5,1;Total Value Analysis;Decentralized;Other Industries;Modified Rebuy
3,4;4,6;5,5;8,2;4;4,4;6,3;Small;47;5,6;Total Value Analysis;Centralized;Industry A Classification;Modified Rebuy
2,6;3;8,5;6;2,8;2,8;6,8;Large;53;5,6;Specification Buying;Centralized;Other Industries;Modified Rebuy
2,4;2,9;8,4;5,9;2,7;2,7;6,7;Large;51;5,5;Specification Buying;Centralized;Other Industries;Modified Rebuy
3;2,8;7,8;7,1;3;3,8;7,9;Small;49;4,4;Total Value Analysis;Centralized;Industry A Classification;Modified Rebuy
4,8;1,7;7,6;4,2;3,3;1,4;5,8;Small;39;5,5;Total Value Analysis;Decentralized;Other Industries;Modified Rebuy
3,1;4,2;5,1;7,8;3,6;4;5,9;Small;43;5,2;Total Value Analysis;Centralized;Industry A Classification;Modified Rebuy
6;0,9;9,6;7,8;3,4;4,6;4,5;Small;58;6,8;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
5,5;1,6;9,4;4,7;3,5;3;7,6;Small;63;5,4;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
4,7;1,3;9,9;6,7;3;2,6;6,8;Small;54;5,9;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
3,4;2;9,7;4,7;2,7;1,7;4,8;Small;49;4,7;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
5,3;1,4;9,7;6,1;3,3;3,9;6,8;Small;54;5,9;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
4,7;1,3;9,9;6,7;3;2,6;6,8;Small;55;6;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
3;4;9,1;7,1;3,5;3,4;8,4;Small;55;5,2;Total Value Analysis;Centralized;Other Industries;Straight Rebuy
4,6;2,1;7,9;5,8;3,4;2,8;4,7;Small;49;5,9;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
5,2;1,3;9,7;6,1;3,2;3,9;6,7;Small;54;5,8;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
3,5;2,8;9,9;3,5;3,1;1,7;5,4;Small;49;5,4;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
2,8;3,8;8,9;6,9;3,3;3,2;8,2;Small;53;5;Total Value Analysis;Centralized;Other Industries;Straight Rebuy
5,2;2;9,3;5,9;3,7;2,4;4,6;Small;60;6,1;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
4;0,9;9,1;5,4;2,4;2,6;7,3;Small;46;5,1;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
5,9;0,9;9,6;7,8;3,4;4,6;4,5;Small;58;6,7;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
4,9;2,3;9,3;4,5;3,6;1,3;6,2;Small;53;5,9;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
5;2,5;9,4;4,6;3,7;1,4;6,3;Small;54;6;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
3,1;1,9;10;4,5;2,6;3,2;3,8;Small;55;4,9;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
5,8;0,2;8,8;4,5;3;2,4;6,7;Small;57;4,9;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
5,4;2,1;8;3;3,8;1,4;5,2;Small;53;3,8;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
5,4;2,5;9,6;5,5;4;3;7,7;Small;65;6;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
4,3;1,8;7,6;5,4;3,1;2,5;4,4;Small;46;5,6;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
3,1;1,9;9,9;4,5;2,6;3,1;3,8;Small;54;4,8;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
5,1;1,9;9,2;5,8;3,6;2,3;4,5;Small;60;6,1;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
4,1;1,1;9,3;5,5;2,5;2,7;7,4;Small;47;5,3;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
4,2;2,5;9,2;6,2;3,3;3,9;7,3;Small;59;6;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
5,3;1,7;8,5;3,7;3,5;1,9;4,8;Small;58;4,3;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
5,6;2,2;8,2;3,1;4;1,6;5,3;Small;55;3,9;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
3,6;2,2;9,9;4,8;2,9;1,9;4,9;Small;51;4,9;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
5,2;1,3;9,1;4,5;3,3;2,7;7,3;Small;60;5,1;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
3,3;2,6;9,7;3,3;2,9;1,5;5,2;Small;47;5,1;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
4,5;1,6;8,7;4,6;3,1;2,1;6,8;Small;56;5,1;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
5,5;1,8;8,7;3,8;3,6;2,1;4,9;Small;59;4,5;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
4,3;2,5;9,3;6,3;3,4;4;7,4;Small;60;6,1;Total Value Analysis;Decentralized;Other Industries;Straight Rebuy
6,1;0,5;9,2;4,8;3,3;2,8;7,1;Small;60;5,2;Total Value Analysis;Decentralized;Industry A Classification;Straight Rebuy
