choice	gender	amount	freq	last	first	child	youth	cook	diy	art
1	1	303	4	2	8	1	0	0	0	0
1	0	165	4	2	6	0	0	0	0	2
1	0	77	4	2	10	0	1	0	0	0
1	0	230	12	2	20	0	0	1	0	0
1	0	248	6	2	10	2	0	0	0	0
1	0	343	4	4	18	2	1	0	0	1
1	1	175	8	3	16	0	0	2	0	1
1	1	277	14	7	54	2	0	0	1	3
1	0	174	10	1	10	0	0	0	0	1
1	1	206	6	1	6	0	0	0	0	1
1	1	211	14	2	22	0	0	1	0	1
1	1	247	16	5	46	0	1	0	0	2
1	1	108	6	2	10	1	0	1	0	0
1	0	187	2	1	2	0	0	0	0	0
1	0	145	4	1	4	0	0	0	0	0
1	1	229	2	2	4	0	0	0	0	1
1	1	330	16	5	42	0	0	1	0	2
1	0	285	14	1	14	1	0	0	0	0
1	0	258	28	7	60	0	1	1	1	1
1	0	274	14	2	18	0	0	0	0	1
1	1	38	34	1	34	0	0	0	0	0
1	1	267	2	4	20	0	1	1	0	1
1	1	241	10	1	10	0	0	1	0	0
1	0	102	10	2	16	0	0	1	0	1
1	0	119	4	3	18	0	0	1	0	0
1	0	230	8	2	12	0	0	1	0	0
1	1	73	16	2	22	0	1	0	0	1
1	0	220	28	7	70	1	0	0	1	2
1	0	190	2	2	8	0	0	0	1	1
1	1	34	2	1	2	0	0	0	0	1
1	1	235	4	2	8	0	0	2	0	0
1	0	145	2	1	2	0	0	1	0	0
1	0	33	14	1	14	0	0	0	0	1
1	1	49	10	1	10	0	1	0	0	0
1	1	37	12	2	14	0	1	0	1	0
1	1	253	4	1	4	0	0	1	0	0
1	1	88	10	2	18	1	0	0	0	0
1	1	290	2	2	4	0	0	0	0	1
1	0	253	24	1	24	0	0	1	0	0
1	1	391	6	10	64	0	0	5	1	2
1	1	150	6	5	28	1	0	2	1	0
1	1	292	12	7	52	1	1	1	0	3
1	0	274	10	5	30	0	1	1	0	2
1	0	196	6	2	10	0	0	0	0	1
1	1	307	10	2	16	0	0	0	0	2
1	1	65	6	1	6	1	0	0	0	0
1	1	315	12	10	48	2	1	1	2	2
1	0	191	16	8	50	2	1	1	1	1
1	0	36	16	1	16	0	0	1	0	0
1	1	386	4	11	32	1	2	2	1	1
1	0	384	2	7	44	0	1	1	3	2
1	0	400	6	11	52	2	0	4	2	3
1	0	140	4	2	6	1	0	0	0	0
1	1	64	14	2	20	0	0	0	0	2
1	1	204	12	2	14	0	1	0	0	1
1	0	188	4	5	28	1	0	2	1	1
1	0	85	10	1	10	0	0	0	0	0
1	1	41	2	1	2	0	0	0	0	1
1	1	245	18	4	34	0	0	0	0	1
1	0	28	16	1	16	0	0	0	0	0
1	1	290	14	2	22	0	1	0	0	1
1	1	302	10	5	26	0	0	0	1	2
1	1	216	10	1	10	0	0	0	0	0
1	1	97	12	1	12	0	0	0	0	1
1	0	278	2	1	2	0	0	1	0	0
1	0	88	12	2	14	0	0	1	0	0
1	1	233	16	4	36	1	0	0	1	0
1	1	355	10	10	60	2	0	2	1	3
1	1	179	12	2	18	0	1	0	0	1
1	0	314	2	1	2	1	0	0	0	0
1	1	444	28	10	82	1	1	1	3	2
1	0	179	6	1	6	0	1	0	0	0
1	0	84	6	1	6	0	0	0	0	0
1	1	263	4	6	30	2	0	2	1	1
1	1	297	8	3	14	0	1	0	0	1
1	0	299	6	5	32	1	2	1	1	0
1	0	85	6	4	14	1	0	1	0	2
1	1	75	16	1	16	0	0	0	0	0
1	0	350	12	4	26	0	0	0	1	2
1	1	55	10	1	10	0	0	0	0	1
1	1	274	22	1	22	0	0	0	0	0
1	1	215	6	11	66	2	1	4	1	2
1	0	130	22	2	24	1	1	0	0	0
1	0	137	6	2	8	0	1	0	1	0
1	0	78	6	2	10	0	0	0	0	0
1	1	338	2	5	20	1	0	0	1	2
1	0	244	6	5	22	2	1	0	0	1
1	1	183	2	1	2	0	0	1	0	0
1	0	376	4	10	60	1	2	2	3	1
1	1	82	6	3	16	0	1	0	1	0
1	1	367	12	12	72	3	0	3	0	1
1	0	418	16	8	32	1	1	1	2	3
1	0	81	16	1	16	0	0	0	1	0
1	0	249	2	2	10	0	0	1	0	1
1	0	102	16	3	32	0	0	0	0	1
1	1	351	10	9	62	3	1	2	1	2
1	0	322	4	2	12	1	0	0	1	0
1	0	360	2	10	22	2	1	1	3	1
1	1	451	12	11	78	3	0	3	0	3
1	1	286	12	2	14	1	0	0	0	1
1	1	187	16	3	22	0	0	1	0	1
1	0	17	16	1	16	1	0	0	0	0
1	0	407	12	12	40	3	0	1	3	2
1	1	143	14	1	14	0	0	0	0	0
1	1	404	4	11	38	2	1	1	2	2
1	0	17	4	1	4	1	0	0	0	0
1	0	148	6	9	48	0	1	1	1	2
1	0	118	6	2	8	1	0	0	0	0
1	1	302	12	2	18	1	0	1	0	0
1	1	374	2	10	26	4	3	0	0	3
1	0	110	2	2	8	0	0	2	0	0
1	0	185	10	10	40	2	1	3	1	2
1	1	235	2	2	8	1	0	0	0	0
1	1	41	6	1	6	0	0	0	0	1
1	0	243	16	1	16	0	0	0	0	1
1	0	183	8	1	8	0	0	0	0	1
1	1	273	30	9	68	1	3	0	1	1
1	1	372	4	12	36	3	0	2	2	3
1	1	234	8	8	40	0	2	0	0	3
1	1	282	16	6	42	1	1	0	0	2
1	0	135	12	1	12	0	0	0	0	0
1	1	236	8	1	8	0	0	0	0	0
1	0	165	2	1	2	1	0	0	0	0
1	1	318	16	2	22	0	0	0	0	1
1	1	299	10	2	16	1	0	1	0	0
1	0	345	14	6	38	1	1	1	0	2
1	1	115	8	7	38	1	2	1	1	2
1	0	179	10	1	10	0	0	0	0	1
1	1	396	12	9	44	1	2	2	0	1
1	0	371	6	11	40	4	1	4	1	0
1	0	292	2	1	2	1	0	0	0	0
1	1	339	10	6	36	2	1	0	0	2
1	1	245	2	1	2	1	0	0	0	0
1	0	330	14	12	84	2	0	3	3	3
1	0	154	10	1	10	0	0	1	0	0
1	0	243	28	1	28	0	1	0	0	0
1	1	72	14	2	18	0	0	0	0	1
1	1	92	6	1	6	1	0	0	0	0
1	1	307	8	1	8	1	0	0	0	0
1	0	271	10	1	10	0	0	0	0	1
1	1	385	4	9	40	2	0	2	2	2
1	1	94	2	6	24	1	1	2	1	0
1	0	115	2	3	16	1	0	0	1	0
1	1	55	2	3	8	0	1	0	0	1
1	0	252	2	2	4	0	0	1	0	1
1	0	339	12	11	38	4	0	1	1	2
1	1	76	10	1	10	0	0	0	0	1
1	1	59	16	1	16	0	0	0	1	0
1	0	406	8	10	58	1	0	3	2	1
1	1	60	14	4	28	0	0	1	0	1
1	0	306	10	1	10	0	0	0	0	1
1	1	264	4	2	8	0	0	0	1	1
1	1	74	10	2	14	1	0	0	0	1
1	0	256	12	1	12	0	0	0	0	1
1	1	253	12	1	12	0	0	1	0	0
1	0	403	12	8	44	3	1	1	2	1
1	1	35	10	2	16	0	0	0	1	1
1	0	139	10	9	30	1	3	1	2	0
1	0	229	16	2	20	0	0	1	0	0
1	1	237	2	2	4	0	0	1	0	1
1	1	202	8	11	32	2	0	1	1	2
1	0	111	12	2	20	0	0	0	0	0
1	1	256	2	11	38	4	2	3	0	1
1	1	57	2	2	8	0	0	1	0	1
1	1	162	10	1	10	0	0	0	0	1
1	1	336	2	10	24	3	0	0	0	2
1	1	319	2	2	8	0	0	0	1	1
1	0	183	2	1	2	0	1	0	0	0
1	0	385	4	10	26	2	0	1	3	0
1	0	352	2	6	22	0	2	1	0	2
1	1	276	10	2	16	1	0	0	0	0
1	1	72	6	4	16	1	0	1	0	2
1	1	313	8	1	8	0	0	0	0	0
1	0	287	12	4	24	0	3	0	0	1
0	1	123	12	1	12	0	1	0	0	0
0	1	294	6	2	8	0	1	1	0	0
0	1	138	14	9	38	1	1	3	2	1
0	1	228	2	1	2	0	1	0	0	0
0	1	102	22	2	24	2	0	0	0	0
0	0	145	10	8	50	1	1	4	0	1
0	0	211	6	1	6	0	0	1	0	0
0	1	289	4	5	32	1	1	1	1	0
0	0	185	14	6	44	1	0	3	1	1
0	1	261	6	1	6	1	0	0	0	0
0	1	73	14	4	32	2	0	0	0	1
0	1	185	16	2	18	0	0	0	1	1
0	1	274	12	2	20	1	0	0	0	1
0	1	82	10	1	10	0	0	0	0	0
0	1	184	2	2	10	1	0	1	0	0
0	1	113	20	1	20	1	0	0	0	0
0	0	44	12	2	20	0	0	2	0	0
0	1	254	6	3	24	0	0	1	1	1
0	1	213	2	1	2	0	0	0	0	1
0	1	57	10	2	14	0	0	2	0	0
0	1	252	12	1	12	1	0	0	0	0
0	1	52	4	2	6	1	0	0	0	0
0	1	33	16	2	22	0	0	0	1	0
0	1	132	18	2	20	1	0	0	0	0
0	0	333	2	4	18	1	0	1	0	1
0	1	284	12	1	12	0	0	0	0	0
0	1	314	2	1	2	0	0	1	0	0
0	1	437	16	11	58	5	0	2	2	2
0	1	285	10	6	38	0	0	2	2	1
0	1	115	24	1	24	0	0	0	0	1
0	0	240	34	8	54	3	2	2	0	0
0	1	87	8	4	18	0	0	2	1	1
0	1	96	16	1	16	0	0	0	0	1
0	1	408	16	10	48	3	0	3	1	1
0	0	32	14	1	14	0	0	0	0	1
0	1	54	14	3	22	1	1	1	0	0
0	1	196	10	2	18	2	0	0	0	0
0	1	357	12	12	60	2	4	2	2	2
0	0	147	12	1	12	0	1	0	0	0
0	1	194	2	2	6	0	0	1	1	0
0	1	196	2	12	26	3	2	2	1	0
0	0	176	8	1	8	0	0	1	0	0
0	1	220	4	1	4	0	0	1	0	0
0	1	316	16	6	32	3	1	0	1	1
0	0	235	14	1	14	0	1	0	0	0
0	1	280	30	2	34	0	1	1	0	0
0	1	320	28	3	38	0	0	2	0	1
0	1	141	16	2	18	0	0	0	1	1
0	1	346	28	12	52	3	1	3	1	3
0	1	149	2	1	2	1	0	0	0	0
0	1	42	8	2	10	1	1	0	0	0
0	0	340	14	4	26	3	0	1	0	0
0	1	87	10	1	10	1	0	0	0	0
0	1	69	14	2	18	1	0	0	0	0
0	1	206	12	1	12	0	0	0	0	1
0	1	206	26	1	26	0	0	1	0	0
0	1	281	14	12	66	5	1	1	4	0
0	1	134	12	4	22	3	0	0	0	0
0	0	216	28	2	36	0	0	1	0	1
0	1	186	36	2	40	0	0	2	0	0
0	0	304	2	1	2	0	0	0	0	1
0	0	228	30	2	38	1	0	1	0	0
0	1	196	16	4	38	2	0	0	2	0
0	0	148	8	1	8	0	0	1	0	0
0	1	247	24	2	26	1	0	1	0	0
0	1	303	2	2	6	0	0	1	0	0
0	1	128	8	1	8	1	0	0	0	0
0	1	193	16	1	16	0	0	1	0	0
0	1	316	32	2	36	0	1	0	1	0
0	0	162	20	1	20	1	0	0	0	0
0	1	107	8	1	8	1	0	0	0	0
0	0	94	2	2	10	0	0	1	0	1
0	1	212	16	1	16	1	0	0	0	0
0	1	126	16	8	48	2	1	1	2	0
0	0	130	36	2	38	0	0	1	0	1
0	1	299	12	3	26	0	0	0	1	0
0	1	287	22	2	30	0	0	1	0	1
0	1	125	14	2	16	0	1	0	0	1
0	1	193	16	2	20	1	0	0	0	1
0	1	275	2	1	2	0	0	0	1	0
0	1	204	4	4	16	1	0	2	0	0
0	1	262	12	2	16	0	0	0	1	1
0	1	18	30	1	30	0	0	1	0	0
0	0	277	14	1	14	0	0	1	0	0
0	1	49	10	2	14	0	0	0	1	0
0	1	396	4	9	24	1	4	2	1	0
0	1	98	12	1	12	0	0	0	0	1
0	1	62	8	1	8	0	0	1	0	0
0	1	266	34	2	40	0	0	0	0	1
0	1	81	10	1	10	0	0	0	0	0
0	1	80	8	2	12	1	0	1	0	0
0	1	244	2	2	8	0	0	0	1	0
0	0	29	4	1	4	0	1	0	0	0
0	1	214	16	2	24	1	0	0	0	0
0	1	240	20	1	20	1	0	0	0	0
0	1	202	12	2	16	0	0	1	0	1
0	0	33	10	2	16	0	0	1	0	1
0	1	253	8	3	24	1	0	0	0	1
0	0	228	2	8	24	1	1	4	1	1
0	1	224	14	2	20	1	0	1	0	0
0	0	96	8	1	8	0	0	1	0	0
0	1	122	16	1	16	0	1	0	0	0
0	1	266	12	6	44	2	0	1	1	1
0	1	128	20	6	40	2	0	1	1	0
0	1	198	4	4	20	1	0	2	1	0
0	0	228	4	8	32	1	0	2	3	0
0	0	100	8	1	8	1	0	0	0	0
0	1	247	20	4	30	1	0	0	0	1
0	0	73	18	1	18	1	0	0	0	0
0	1	288	22	1	22	0	0	1	0	0
0	1	413	34	9	74	3	0	1	1	2
0	1	397	4	11	60	4	0	3	1	1
0	1	25	6	1	6	0	0	1	0	0
0	1	15	12	1	12	1	0	0	0	0
0	0	251	12	7	54	2	0	3	1	1
0	1	314	2	2	4	0	1	1	0	0
0	0	126	28	1	28	0	0	0	0	0
0	1	107	2	2	8	1	0	0	0	1
0	1	314	10	1	10	0	0	0	0	1
0	0	121	10	1	10	0	0	1	0	0
0	1	166	16	1	16	0	0	1	0	0
0	1	117	8	5	20	2	0	2	0	0
0	1	224	28	2	32	0	0	0	1	1
0	1	75	14	1	14	0	1	0	0	0
0	1	180	14	1	14	0	0	1	0	0
0	0	248	4	5	24	2	1	0	2	0
0	1	92	14	1	14	1	0	0	0	0
0	1	69	12	1	12	1	0	0	0	0
0	0	277	20	1	20	0	1	0	0	0
0	1	294	12	5	24	1	1	2	1	0
0	0	18	2	1	2	0	0	1	0	0
0	0	218	10	2	18	1	0	0	1	0
0	1	268	14	2	18	1	0	0	0	1
0	0	324	14	2	20	0	0	2	0	0
0	0	168	12	1	12	0	0	0	1	0
0	0	316	14	4	34	2	1	0	0	1
0	0	174	12	11	48	4	0	1	2	1
0	1	71	14	2	20	2	0	0	0	0
0	1	202	10	1	10	0	1	0	0	0
0	1	30	10	1	10	0	0	1	0	0
0	1	129	10	1	10	1	0	0	0	0
0	1	205	4	2	6	0	0	0	1	0
0	1	215	16	6	34	1	0	1	1	2
0	1	189	8	4	18	0	0	0	2	1
0	1	285	22	1	22	0	0	1	0	0
0	1	288	4	1	4	0	0	1	0	0
0	1	209	4	1	4	1	0	0	0	0
0	1	301	14	4	34	1	0	2	1	0
0	1	35	18	2	22	1	0	1	0	0
0	1	244	16	2	20	1	0	0	1	0
0	1	334	8	9	28	1	1	3	1	1
0	1	140	16	2	24	1	0	0	0	1
0	0	162	10	6	22	1	1	3	0	1
0	0	163	14	1	14	0	0	0	0	0
0	1	216	14	2	20	1	0	1	0	0
0	1	264	16	1	16	0	0	0	0	0
0	0	111	12	2	16	1	0	1	0	0
0	0	235	18	1	18	0	0	0	1	0
0	1	117	16	7	54	4	0	1	1	0
0	1	135	16	3	26	1	1	0	0	1
0	1	131	16	1	16	0	0	0	0	1
0	1	235	2	1	2	1	0	0	0	0
0	1	118	12	1	12	0	0	0	0	1
0	1	327	4	9	38	1	1	2	2	2
0	1	237	16	2	20	0	0	0	0	1
0	1	151	10	3	24	1	1	0	1	0
0	1	84	16	2	24	0	0	1	0	0
0	0	180	4	1	4	0	0	0	1	0
0	1	79	10	2	14	0	0	2	0	0
0	1	201	12	3	28	0	1	0	0	1
0	0	331	26	7	42	3	1	1	1	1
0	1	292	12	5	30	1	2	1	0	0
0	1	285	12	11	76	2	1	3	2	0
0	0	300	34	1	34	1	0	0	0	0
0	1	175	12	1	12	1	0	0	0	0
0	0	354	6	10	56	1	3	5	1	0
0	1	210	12	1	12	0	0	0	1	0
0	1	163	2	1	2	1	0	0	0	0
0	1	57	26	1	26	1	0	0	0	0
0	1	263	8	2	14	0	0	1	1	0
0	1	118	16	6	46	1	2	2	1	0
0	0	149	6	2	12	0	1	0	1	0
0	1	263	12	10	36	0	1	3	2	2
0	1	88	12	1	12	0	0	1	0	0
0	1	107	16	1	16	0	0	1	0	0
0	0	345	6	6	30	3	1	0	0	1
0	1	323	8	2	12	1	1	0	0	0
0	1	125	14	1	14	0	0	0	1	0
0	1	168	10	2	18	2	0	0	0	0
0	1	76	12	2	20	0	0	0	1	0
0	1	257	16	1	16	0	0	0	0	0
0	1	314	6	1	6	0	1	0	0	0
0	1	126	14	2	16	0	0	1	0	0
0	1	139	30	1	30	0	0	0	1	0
0	1	152	30	3	40	0	0	2	1	0
0	0	103	18	1	18	0	0	0	0	1
0	1	135	2	2	6	1	0	0	0	0
0	1	60	14	2	22	0	0	1	0	1
0	0	390	8	9	38	2	2	3	0	1
0	1	236	12	2	18	0	0	1	0	0
0	1	245	24	5	46	2	1	1	1	0
0	0	327	16	2	24	0	0	0	1	0
0	0	148	16	4	38	1	1	1	0	0
0	1	162	16	4	24	0	0	0	3	1
0	0	254	10	1	10	0	0	0	0	1
0	1	186	10	1	10	0	0	1	0	0
0	1	218	12	2	16	1	0	1	0	0
0	1	133	6	4	18	1	1	2	0	0
0	0	184	14	1	14	0	0	0	0	0
0	1	249	12	1	12	0	0	0	0	0
0	0	193	28	1	28	0	0	0	0	0
0	0	88	14	2	22	0	0	1	1	0
0	1	225	26	10	84	4	3	2	0	0
0	1	256	14	1	14	0	0	0	0	0
0	1	55	6	2	8	0	0	1	0	0
0	0	229	14	10	62	4	1	2	2	0
0	1	132	6	2	10	0	1	1	0	0
0	0	133	22	2	26	2	0	0	0	0
0	0	77	12	1	12	0	0	0	0	0
0	1	161	22	9	58	3	2	0	0	2
0	1	114	10	2	14	1	0	1	0	0
0	1	232	20	1	20	0	0	0	0	1
0	0	135	4	2	8	0	0	0	0	0
0	1	30	4	1	4	0	0	0	1	0
0	0	246	8	2	16	0	0	1	0	0
0	0	271	12	2	14	0	1	1	0	0
0	1	153	10	1	10	1	0	0	0	0
0	1	171	24	7	58	1	1	1	1	1
0	1	228	12	1	12	0	0	0	0	1
0	0	24	8	1	8	1	0	0	0	0
0	1	185	6	1	6	1	0	0	0	0
0	1	84	14	1	14	1	0	0	0	0
0	1	84	16	1	16	0	0	0	0	0
0	1	248	36	2	40	0	0	1	1	0
0	0	164	12	3	24	0	1	2	0	0
0	0	281	6	4	16	0	2	2	0	0
0	1	46	10	2	16	0	0	0	2	0
0	1	136	22	1	22	0	0	1	0	0
0	1	317	10	2	16	0	0	1	1	0
0	1	166	10	1	10	0	0	0	0	0
0	1	226	2	1	2	0	0	1	0	0
0	0	123	4	2	10	1	1	0	0	0
0	0	39	12	2	16	1	0	0	1	0
0	1	294	2	1	2	1	0	0	0	0
