CASO,KCMATER,HB,HC,HD,HE,HF,HG,HH,HI,FIREP,FICCUID,FIDIST,FICDOC,FICAMIG,FIPUBLI,FIAMAB,FIIMOD,FIEMOD,FISEG,FAMIL,ELECHOSP,SERPERF,ALEALTAD,AMSERV,ASCOM,ACALIDAD,ACOMOD,VKC,VB,VC,VD,VE,VF,VG,VH,VI,INTERES,COMPROM,ESFUER,MOTIV,DIFICULT,SEXO,ESTADOMA,EDAD,NIVELEDU,INGRESOS,PC1,PC2,PC3,clusterpca
16,0,1,1,0,0,1,0,0,0,5,3,3,6,2,3,3,6,6,3,5,1000,0,4,6,3,4,2,0,0,0,0,0,2,0,0,0,5,5,4,4,5,0,0,100,1,1,3.2434800447048,0.139399052078087,-0.326989511954693,1
17,0,0,0,0,1,0,1,1,0,2,4,2,2,5,2,6,3,2,2,4,10000,100,3,4,4,5,3,0,0,0,0,7,0,2,0,0,5,5,5,4,3,0,0,10,100,100,-1.85304690791757,0.957324301074009,-0.735117395351228,3
18,0,1,1,0,0,1,0,0,0,5,2,3,5,2,2,3,6,5,2,6,1e+07,0,4,5,3,4,3,0,9,0,0,0,0,0,0,0,5,5,5,3,5,0,0,100,1,10,2.98502061458531,0.890327071869217,0.357630216682513,1
19,0,0,0,0,1,0,1,1,0,3,6,2,3,5,2,6,3,2,3,3,100,100,3,4,4,5,2,0,0,0,0,2,0,9,0,0,4,4,5,6,4,0,0,100,10,100,-1.81838020207032,0.949233683995716,-1.25161140476202,3
20,0,0,0,0,1,0,1,1,0,3,6,2,3,5,2,6,3,3,2,4,10000,100,2,4,4,5,2,0,0,0,0,8,0,5,0,0,5,5,6,4,5,0,0,100,0,100,-1.57541201633787,1.62918579435476,-1.07046329687362,3
21,0,1,1,0,0,1,0,0,0,4,3,3,6,2,3,3,5,5,3,6,1e+07,0,3,5,2,4,3,0,9,3,0,0,0,0,0,0,4,4,4,5,5,0,0,0,10,10,2.50975307134623,-0.202906638404899,-0.145618724449099,1
22,0,1,1,0,0,1,0,0,0,6,2,2,5,2,2,2,5,6,2,5,1000,0,4,6,3,4,3,0,4,0,0,0,6,0,0,0,6,4,5,5,4,0,0,0,1,1,3.46411075055477,1.03715649165945,-0.79561701959086,1
23,0,0,0,0,1,0,1,1,0,3,5,3,1,4,2,6,2,2,3,3,10000,100,6,4,4,5,1,0,0,0,0,9,3,0,0,0,4,5,3,4,6,0,0,10,10,100,-2.05251049397011,0.0963085457689091,0.280639389890369,3
24,1,0,0,0,0,0,0,0,0,2,3,6,1,2,1,3,3,2,3,2,0,1,3,3,2,2,6,7,0,0,0,2,2,0,0,0,5,5,5,3,4,1,0,100,10,10000,-0.346053397140683,-1.01672523211575,4.61481805022724,2
25,0,0,0,0,1,0,1,1,0,3,6,3,2,6,2,6,3,3,3,4,100,100,4,4,4,5,2,0,0,0,0,0,0,0,0,0,5,5,6,3,4,0,0,100,100,100,-2.04236563811023,0.882835409859182,-0.159976456613135,3
26,0,1,1,0,0,1,0,0,0,5,3,2,5,2,2,3,5,5,3,5,1000,0,2,6,3,3,1,0,0,0,0,0,4,0,0,0,3,3,4,5,5,0,0,0,1,1,2.50211329831469,0.564910622772364,-1.06189898853578,1
27,0,0,0,0,1,0,1,1,0,2,6,3,2,6,2,5,2,3,3,4,10000,100,4,4,4,6,2,0,0,0,0,3,7,0,3,0,5,5,5,3,4,0,0,1,10,10000,-2.28651644371854,0.494305201832023,0.0404607893381221,3
28,1,0,0,0,0,0,0,0,0,3,2,6,1,1,2,3,2,2,3,2,0,1,2,3,3,2,5,2,0,0,0,4,0,0,4,0,5,4,4,4,4,0,10,10,10,1000,0.131007886393055,-1.89625876411242,4.52625745257055,2
29,0,0,0,0,1,0,1,1,0,2,6,3,2,4,3,6,2,2,3,4,10000,100,2,4,3,5,2,0,0,0,0,3,0,0,5,0,4,5,5,3,5,0,0,100,10,100,-2.28006234560105,-0.2963026510104,-0.0565890980244667,3
30,0,1,1,0,0,1,0,0,0,5,2,3,4,2,2,2,5,6,3,6,1000,0,3,6,3,3,3,0,0,5,0,0,0,0,0,0,4,5,6,5,6,0,0,0,1,1,2.99305805152998,0.0363349661595165,0.27116801067792,1
31,0,1,1,0,0,1,0,0,0,5,2,3,5,1,2,3,6,4,2,5,1000,0,6,5,3,4,2,0,7,4,0,0,3,0,0,0,5,4,4,3,6,0,0,0,10,10,2.98809228229363,0.647568550517567,0.500261027128727,1
32,0,0,0,1,0,0,0,0,1,2,3,3,3,1,5,3,1,3,6,1,1,10,4,2,6,2,4,0,0,0,0,0,0,5,0,3,4,4,4,4,5,1,1,1,0,10,0.104070151683798,-4.44215466924629,-0.596732917784863,4
33,0,1,1,0,0,1,0,0,0,5,2,3,4,2,2,3,5,4,3,6,1e+07,0,3,5,2,3,2,0,8,3,0,0,0,0,0,0,4,5,5,3,4,0,0,0,1,10,2.26287897627235,-0.020748072194488,0.302960136656222,1
34,0,1,1,0,0,1,0,0,0,5,3,3,6,2,3,3,6,5,3,5,1000,0,1,6,3,4,3,0,0,4,0,0,9,0,0,0,4,5,3,6,4,0,0,0,1,1,3.00287713719742,0.03609149617991,-0.276130927530728,1
35,0,1,1,0,0,1,0,0,0,6,2,3,5,3,2,3,6,6,3,6,1000,0,2,6,2,4,3,0,2,3,0,0,4,0,0,0,5,6,5,5,5,0,0,0,1,1,3.22735732112005,0.671461214310869,-0.0815332500621053,1
36,0,0,0,0,1,0,1,1,0,3,6,2,3,5,2,6,2,2,2,3,100,100,3,4,4,6,2,0,0,2,0,0,0,6,0,0,5,5,6,4,6,0,0,100,10,100,-2.06136533722831,1.40190027942265,-0.953618473354072,3
37,0,0,0,0,1,0,1,1,0,3,5,3,1,5,2,6,3,2,3,3,100,100,6,4,5,5,3,0,0,0,0,0,0,5,6,4,5,5,5,5,4,0,0,100,100,100,-2.05083465580273,0.359737470256318,0.122880924772534,3
38,1,0,0,0,0,0,0,0,0,3,3,6,2,3,2,3,2,3,3,2,0,1,2,2,3,2,6,6,0,0,0,0,0,0,0,0,4,5,4,6,2,0,10,1,0,0,-0.104197671130134,-1.23370985905608,4.15162784516263,2
39,1,0,0,0,0,0,0,0,0,2,3,6,2,2,1,3,2,2,2,2,0,1,2,2,2,3,6,6,0,0,0,2,3,0,0,0,5,3,5,5,5,1,0,1,0,10000,-0.355215493101228,-0.456913562018089,4.85231919286867,2
40,1,0,0,0,0,0,0,0,0,2,2,5,2,2,3,3,2,2,3,2,0,1,5,2,2,2,5,6,0,0,0,3,0,0,0,0,5,5,4,4,3,0,10,1,0,1000,-0.130845457522818,-2.12060161820129,3.00321755097782,2
41,0,1,1,0,0,1,0,0,0,5,3,2,5,2,2,3,5,4,3,5,1000,0,3,5,2,3,2,0,0,4,0,0,0,0,0,0,5,4,6,5,4,0,0,0,1,10,2.26151039080732,0.461603066874188,-1.01104040411181,1
42,0,1,1,0,0,1,0,0,0,6,4,2,6,2,2,3,6,5,2,6,1000,0,2,6,2,4,3,0,0,0,0,0,0,0,0,0,4,4,5,5,4,0,0,100,1,1,3.00914332779178,1.66089273006926,-1.1006310702445,1
43,0,1,1,0,0,1,0,0,0,5,3,2,5,2,2,3,5,5,3,6,1000,0,2,6,2,4,3,0,2,0,0,0,5,0,0,0,4,5,4,5,4,0,0,0,1,1,2.50211329831469,0.564910622772364,-1.06189898853578,1
44,0,1,1,0,0,1,0,0,0,6,2,3,6,2,2,3,4,6,2,5,1e+06,0,1,6,3,4,2,0,5,9,0,0,0,0,0,0,5,4,6,5,3,0,0,100,1,1,3.21651938699213,0.967843959921117,0.313726357697161,1
45,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,3,3,2,3,10000,100,3,4,4,5,2,0,0,0,0,6,0,0,3,0,5,5,3,3,5,0,0,10,10,100,-1.82181708334097,1.03181447973521,0.308063207880453,3
46,0,0,0,0,1,0,1,1,0,3,6,3,2,6,2,6,3,2,3,3,10,100,5,4,4,5,3,0,0,0,0,0,0,4,5,0,5,2,4,5,3,0,0,10,10,100,-2.28296854561761,0.779527853961005,-0.10911787218917,3
47,0,1,1,0,0,1,0,0,0,5,2,3,5,2,2,3,5,5,2,5,1000,0,4,5,2,3,3,0,5,0,0,0,3,0,0,0,4,5,4,4,4,0,0,0,1,10,2.73967020120224,0.766349112835282,0.4236164557781,1
48,0,0,0,0,1,0,1,1,0,3,6,3,3,6,2,5,2,2,3,4,10000,100,4,4,4,5,3,0,0,0,0,5,0,0,2,0,4,3,3,4,6,0,0,100,10,10000,-2.04552265956034,0.613162896155441,-0.0336983789904739,3
49,0,0,0,0,1,0,1,1,0,2,6,3,3,5,2,6,2,3,3,3,10000,100,1,4,4,5,2,0,0,0,0,0,3,0,0,0,4,5,3,4,4,0,0,100,100,100,-2.05799208954828,0.61153138449162,0.00181618372422276,3
50,0,0,0,0,1,0,1,1,0,2,5,3,3,5,2,6,2,3,2,4,10000,100,5,4,4,5,3,0,0,0,0,5,0,3,5,0,5,5,5,4,4,0,0,100,100,100,-1.83334445752658,1.014981595372,0.31355765820952,3
51,0,0,0,0,1,0,1,1,0,2,6,3,2,4,2,6,3,1,3,4,10000,100,3,4,4,5,2,0,0,0,0,5,0,4,0,0,5,5,5,6,5,0,0,100,10,10000,-2.28399595516172,0.282298191605007,0.189811128265334,3
52,0,0,0,1,0,0,0,0,1,3,2,3,2,2,5,3,2,2,6,1,1,10,5,2,5,3,4,0,0,0,3,0,0,2,0,2,5,4,4,4,6,1,1,1,0,1000,0.101376049411096,-4.4473525433574,-0.627932191525321,4
53,0,0,0,0,1,0,1,1,0,3,6,3,1,5,2,6,3,2,2,4,10,100,2,4,4,6,3,0,0,0,0,0,0,2,6,0,6,4,4,5,5,0,0,100,100,10000,-2.27075173137429,1.10957636829768,0.275152834911961,3
54,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,2,2,2,3,10000,100,2,5,4,5,2,0,0,0,0,6,0,5,0,0,3,3,4,4,5,0,0,100,1,10,-2.30777040423141,0.804528964803102,0.424908031400005,3
55,0,0,0,0,1,0,1,1,0,2,6,3,3,4,3,6,2,4,3,3,10000,100,3,4,4,5,3,0,0,0,0,4,0,4,0,0,5,6,5,4,5,0,0,100,10,100,-1.56503349138885,0.0174575354566746,-0.218798055638917,3
56,0,0,0,0,1,0,1,1,0,4,6,2,2,6,2,6,2,3,3,4,10000,100,3,4,4,5,3,0,0,0,0,5,0,2,0,0,4,4,4,3,6,0,0,10,100,100,-2.05285166989102,1.07588934719358,-1.33229015133217,3
57,0,0,0,0,1,0,1,1,0,2,6,2,2,5,2,6,3,1,3,3,10000,100,3,4,4,6,2,0,0,0,0,2,5,0,0,0,4,5,5,5,6,0,0,100,10,100,-2.54057980124327,0.623760877875944,-1.0757350675855,3
58,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,2,2,3,4,10,100,4,4,4,6,3,0,0,0,0,0,0,0,4,0,5,4,4,4,5,0,0,100,10,100,-2.5324180362531,0.401078753922722,0.113166556914708,3
59,0,0,0,0,1,0,1,1,0,2,5,2,1,6,2,6,2,1,3,4,100,100,1,4,4,5,3,0,0,0,0,0,0,9,7,0,5,3,5,4,6,0,0,100,10,100,-3.04114547524286,0.358894466044269,-0.961294483572702,3
60,0,0,0,0,1,0,1,1,0,2,5,2,3,5,2,5,2,2,2,4,10,100,4,4,4,5,2,0,0,0,0,0,0,0,6,0,5,4,3,3,5,0,0,1,10,100,-1.83788337565694,0.964153686848937,-0.739432684325467,3
61,0,0,0,0,1,0,1,1,0,2,6,2,2,5,2,6,2,3,2,4,10,100,2,4,3,6,3,0,0,0,0,2,0,4,9,0,5,3,6,4,4,0,0,100,10,100,-2.30235912138651,1.28304258509923,-0.879459305025476,3
62,0,1,1,0,0,1,0,0,0,6,2,2,5,2,3,3,6,4,2,5,1000,0,6,6,3,3,3,0,0,0,0,0,2,0,0,0,5,6,5,5,5,0,0,100,1,1,2.98796320411656,0.546120972859728,-1.09133901366957,1
63,0,0,0,0,1,0,1,1,0,3,5,3,2,5,3,6,2,2,2,4,10,100,4,4,4,5,3,0,0,0,0,0,0,0,0,0,6,4,6,3,3,0,0,10,100,100,-2.05131563632692,0.361618700874327,0.0988541864525408,3
64,0,0,0,1,0,0,0,0,1,3,3,2,3,3,6,3,3,1,6,1,1,10,3,2,5,3,4,0,0,0,0,0,0,0,2,0,5,5,4,3,5,1,1,1,0,0,-0.130238489957583,-4.36281047517914,-2.31036049394865,4
65,0,0,0,0,1,0,1,1,0,3,5,2,4,4,2,5,2,1,3,4,10000,100,3,4,4,5,3,0,0,0,0,2,0,0,4,0,4,5,4,5,3,0,0,100,0,10000,-1.35558029450811,0.36691586125801,-0.953826318944177,3
66,0,0,0,0,1,0,1,1,0,2,4,4,3,5,2,6,2,3,3,3,10000,100,4,4,4,5,2,2,0,0,0,6,0,0,2,0,5,5,4,4,5,0,0,100,100,100,-1.60051811108918,0.0631309765131738,1.33505971789867,3
67,0,1,1,0,0,1,0,0,0,6,4,3,5,2,3,3,5,6,3,6,1000,0,4,6,2,4,2,0,0,0,0,0,0,0,0,0,4,6,5,5,5,0,0,0,1,1,2.78979789079579,0.196490537504795,-0.344772230251563,1
68,0,0,0,0,1,0,1,1,0,2,6,3,3,5,2,6,3,2,3,4,100,100,4,4,4,5,3,0,0,0,0,0,0,9,4,2,5,5,4,4,3,0,0,100,0,100,-2.05324458367259,0.632201787627379,-0.0133114709473992,3
69,0,0,0,1,0,0,0,0,1,2,2,3,1,2,5,3,1,2,6,2,1,10,3,3,5,2,4,0,0,0,0,0,0,4,0,4,4,6,5,6,4,0,1,100,10,1000,-0.625571055637547,-4.79349575261293,-0.436928199677172,4
70,0,1,1,0,0,1,0,0,0,6,3,3,5,2,3,3,5,5,2,6,1000,0,2,6,3,4,2,0,0,4,0,0,9,0,0,0,4,5,5,4,5,0,0,100,1,1,2.77384261531011,0.496633192486998,0.0178278286577004,1
71,0,0,0,0,1,0,1,1,0,2,5,3,3,6,2,5,3,2,2,4,10000,100,3,4,4,5,2,0,0,0,0,0,0,0,2,0,5,5,4,4,5,0,0,100,100,100,-1.82329826662371,1.02557089051888,0.276582820385278,3
72,0,0,0,0,1,0,1,1,0,4,6,3,4,5,2,5,3,3,3,3,10000,100,3,4,4,5,3,0,0,0,0,8,0,0,0,0,5,4,4,4,4,0,0,100,0,10000,-0.83429807178863,0.923162695855675,-0.183788729240339,3
73,0,0,0,0,1,0,1,1,0,3,6,3,3,5,2,6,2,2,3,4,10000,100,4,4,4,5,2,0,0,0,0,3,0,4,0,0,3,4,5,3,4,0,0,100,10,100,-2.05082134458753,0.623244004144317,-0.0118511958378536,3
74,0,0,0,0,1,0,1,1,0,3,6,2,4,5,3,6,2,2,2,3,10,100,3,4,4,5,2,0,0,0,0,0,0,0,8,0,3,5,5,4,6,0,0,100,10,100,-1.81886118259451,0.951114914613724,-1.27563814308201,3
75,0,1,1,0,0,1,0,0,0,4,2,3,5,2,2,3,5,6,3,6,1e+07,0,2,6,2,4,3,0,8,0,0,0,0,0,0,0,4,4,4,6,3,0,0,100,1,1,2.73013417801642,0.177991938721713,0.205277143027814,1
76,0,0,0,1,0,0,0,0,1,3,4,3,1,1,5,2,3,3,5,1,1,10,3,2,6,2,4,0,0,0,0,0,0,3,0,6,4,4,3,4,5,1,1,1,0,0,0.403954737194493,-3.69316190036998,-0.450050829419984,4
77,0,1,1,0,0,1,0,0,0,6,2,3,5,3,2,3,6,4,3,6,1e+06,0,4,5,3,3,3,0,0,4,0,0,0,0,0,0,4,4,4,5,5,0,0,100,1,10,2.74615150610529,0.464846102514516,0.0201839187858251,1
78,0,0,0,0,1,0,1,1,0,3,6,3,2,5,3,6,3,1,2,4,10000,100,3,4,4,5,3,0,0,0,0,4,0,3,2,0,4,4,5,5,6,0,0,1,10,100,-2.26885048424786,0.555483447590578,0.00399174960798387,3
79,0,0,0,0,1,0,1,1,0,2,4,3,3,5,2,6,2,2,3,3,10,100,3,4,4,6,2,0,0,0,0,0,0,5,0,0,4,5,4,4,5,0,0,100,10,100,-1.85403028946241,0.16183514143246,0.212144332494058,3
80,0,1,1,0,0,1,0,0,0,5,3,3,6,2,2,2,6,5,3,6,1000,0,3,6,3,4,2,0,0,0,0,3,7,0,0,0,4,5,4,6,4,0,0,0,1,1,3.24316928200394,0.444489862217209,0.0553219963003236,1
81,0,0,0,1,0,0,0,0,1,3,2,3,3,3,5,3,2,2,5,2,1,10,5,3,6,2,4,0,0,0,0,0,0,7,2,4,5,4,5,5,6,1,1,100,0,1000,0.0938897916179208,-3.62411194877233,-0.548189514001726,4
82,0,0,0,0,1,0,1,1,0,3,5,3,2,5,2,6,3,3,3,3,10000,100,2,4,4,5,2,0,0,0,0,6,0,2,0,0,4,4,5,5,4,0,0,100,100,1000,-1.57640870909791,0.570190100825216,0.0115305515820487,3
83,0,0,0,0,1,0,1,1,0,3,6,3,3,6,2,6,2,3,3,3,10000,100,4,4,4,5,3,0,0,0,0,3,0,0,0,0,4,5,4,4,6,0,0,100,100,100,-2.05389301229585,0.866002525495967,-0.154482006284067,3
84,0,1,1,0,0,1,0,0,0,6,3,3,5,2,1,3,5,5,3,6,1000,0,5,5,2,4,2,0,0,0,0,0,5,0,0,0,6,3,5,6,4,0,0,100,1,10,2.75411510621232,1.03584951698542,0.308876898268184,1
85,0,0,0,0,1,0,1,1,0,3,5,2,3,5,2,6,3,2,2,3,100,100,3,3,4,5,3,0,0,2,0,0,0,8,5,0,5,4,5,3,4,0,0,10,100,1000,-1.59373257004862,1.3526838948761,-0.939869930276724,3
86,0,0,0,0,1,0,1,1,0,3,5,3,3,5,3,6,2,1,3,4,100,100,4,4,4,5,3,0,0,0,0,0,0,5,0,2,5,4,5,5,4,0,0,100,10,100,-2.06046078286192,-0.211188334814,-0.142785710202376,3
87,0,0,0,0,1,0,1,1,0,3,6,3,2,6,3,6,3,4,3,4,10000,100,3,4,4,5,2,0,0,0,0,4,0,0,0,0,5,5,5,4,5,0,0,100,10,100,-1.79308161516649,0.42821252627771,-0.472362921998523,3
88,0,0,0,1,0,0,0,0,1,2,3,3,2,2,4,3,2,2,5,1,1,10,2,2,6,3,4,0,0,0,0,0,0,4,6,4,6,3,5,5,4,1,1,1,0,10,-0.37499579406494,-3.25460338138726,-0.149606436438428,4
89,0,1,1,0,0,1,0,0,0,5,2,3,5,3,2,2,6,5,2,6,1e+07,0,3,5,2,3,2,0,2,2,0,0,0,0,0,0,4,5,4,5,4,0,0,0,1,10,2.99031929961249,0.880245963880342,0.335783033529892,1
90,0,1,1,0,0,1,0,0,0,6,4,3,6,2,3,3,5,6,2,6,1e+07,0,4,6,3,4,3,0,3,4,0,0,0,0,0,0,5,4,5,5,5,0,0,0,1,1,3.02598620821831,0.880280166636388,-0.17325732670572,1
91,0,1,1,0,0,1,0,0,0,5,3,2,5,3,2,2,5,5,2,6,1000,0,5,6,2,3,2,0,0,5,0,0,0,0,0,0,4,5,4,5,5,0,0,0,1,1,2.50977726156695,1.13147406924436,-0.851739479376036,1
92,0,1,1,0,0,1,0,0,0,5,2,3,5,3,2,3,6,6,3,6,1e+06,0,4,6,2,3,2,0,0,5,0,0,0,6,0,0,5,5,3,4,4,0,0,0,1,1,2.97958366865192,0.556441038759996,-0.0170072860760638,1
93,0,0,0,0,1,0,1,1,0,3,6,3,1,6,2,6,2,2,2,4,10000,100,2,4,4,5,2,0,0,0,0,4,0,0,3,0,4,4,5,3,5,0,0,100,10,100,-2.75977671997305,1.12504937471722,0.2493668479853,3
94,0,1,1,0,0,1,0,0,0,6,3,3,5,2,2,3,6,6,2,6,1000,0,3,6,3,4,3,0,0,4,0,0,4,0,0,0,5,4,4,4,6,0,0,0,1,1,3.25111482076419,1.28184914689876,0.162510886099571,1
95,0,1,1,0,0,1,0,0,0,5,3,3,6,2,2,3,4,6,3,5,1e+06,0,2,5,2,4,3,0,0,9,0,0,3,0,0,0,4,5,5,4,5,0,0,0,1,10,2.74409810250231,0.449373573489864,0.0665108471979045,1
96,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,2,2,2,3,100,100,5,4,4,5,2,0,0,0,0,0,0,0,0,0,5,6,4,3,5,0,0,10,10,100,-2.53005275802803,0.977723308383593,0.34517324922707,3
97,0,0,0,0,1,0,1,1,0,3,6,3,3,5,3,6,2,1,2,4,10000,100,3,3,4,6,2,0,0,0,0,5,3,0,0,0,5,5,5,5,4,0,0,100,0,1000,-2.28037785843348,0.538650563227363,0.00948619993705135,3
98,0,0,0,0,1,0,1,1,0,2,3,3,2,6,2,6,3,1,2,3,10000,100,4,4,4,6,3,0,0,0,0,4,0,3,6,0,5,4,5,5,4,0,0,100,10,100,-2.10213276597817,0.618261646231351,0.477477715052005,3
99,0,0,0,0,1,0,1,1,0,3,5,2,3,5,2,5,1,2,3,4,10000,100,4,5,4,6,3,0,0,0,0,4,0,0,0,0,4,5,5,3,5,0,0,0,1,10,-1.83782541479695,0.378551348905003,-0.969979101528284,3
100,1,0,0,0,0,0,0,0,0,3,4,6,3,2,2,2,1,2,3,2,0,1,2,3,3,2,6,6,0,0,0,0,3,0,0,0,5,5,4,4,5,0,10,100,10,1000,-0.0859624711611772,-1.46963899463281,4.28994336663461,2
101,0,0,0,1,0,0,0,0,1,3,2,3,2,4,6,3,3,3,5,2,1,10,5,2,5,3,4,0,0,0,0,0,0,0,6,9,5,5,3,4,3,0,1,1,0,10000,0.111026613531578,-3.92245098253712,-0.957842655738431,4
102,0,0,0,0,1,0,1,1,0,3,6,3,2,5,2,6,3,2,3,4,10000,100,3,4,4,5,3,0,0,0,0,8,0,0,2,0,4,4,4,4,5,0,0,100,100,100,-2.03929397040191,0.640076888507531,-0.017345646166921,3
103,0,0,0,0,1,0,1,1,0,2,5,2,3,6,2,6,3,3,2,4,10000,100,4,4,4,6,3,0,0,0,0,7,0,0,4,0,5,4,4,4,5,0,0,10,100,100,-1.84457789022507,1.48042224067687,-1.0179747767369,3
104,0,0,0,1,0,0,0,0,1,3,1,3,2,2,5,2,2,2,6,1,1,10,4,2,6,3,4,0,0,0,0,0,0,7,0,4,5,3,4,4,4,1,1,1,0,10,0.572631663450598,-4.77007896038024,-0.478272366482758,4
105,0,0,0,0,1,0,1,1,0,3,5,3,1,5,2,6,2,2,3,3,10,100,2,4,4,5,2,0,0,0,0,6,0,0,7,0,4,4,4,5,5,0,0,100,10,10000,-2.2961850691858,0.235759511222383,0.188867163868121,3
106,0,0,0,0,1,0,1,1,0,3,5,3,1,5,2,5,3,1,3,4,10000,100,4,4,4,6,3,0,0,0,0,9,0,9,7,0,6,4,4,6,6,0,0,100,10,100,-2.04246430306723,0.106897840915793,0.243664552066127,3
107,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,3,2,2,4,10000,100,3,4,4,5,2,0,0,0,0,6,3,0,0,0,4,4,5,4,5,0,0,100,10,100,-2.28470234464497,1.10170126741753,0.279187010131483,3
108,0,0,0,0,1,0,1,1,0,3,6,3,2,5,2,6,2,2,2,4,100,100,4,4,4,5,3,0,0,0,0,2,0,0,3,0,4,6,4,5,4,0,0,10,10,100,-2.2822791055599,1.09274348393447,0.280647285241029,3
109,0,1,1,0,0,1,0,0,0,6,4,3,6,2,2,3,5,5,3,6,1e+07,0,4,6,3,4,3,0,6,0,0,0,0,3,0,0,3,5,5,4,5,0,0,0,1,1,2.7743369070495,0.758258495756988,-0.092877553632694,1
